"Aberdeen Airport;""ABZ"";""Aberdeen"";""Aberdeen""",,,,,,,
"Aberdeen Regional Airport;""ABR"";""Aberdeen"";""Aberdeen""",,,,,,,
"Abha Regional Airport;""AHB"";""Abha"";""Abha""",,,,,,,
"Abilene Regional Airport;""ABI"";""Abilene"";""Abilene""",,,,,,,
"Abingdon Airport;""ABG"";""Abingdon"";""Abingdon""",,,,,,,
"Aboisso Airport;""ABO"";""Aboisso"";""Aboisso""",,,,,,,
"Abou-De??a Airport;""AOD"";""Abou-De??a"";""Abou-De??a""",,,,,,,
"Abraham Gonz??lez International Airport;""CJS"";""Ciudad Ju??rez"";""Ciudad Ju??rez""",,,,,,,
"Abraham Lincoln Capital Airport;""SPI"";""Springfield"";""Springfield""",,,,,,,
"Abresso Airport;""RSK"";""Ransiki"";""Ransiki""",,,,,,,
"Abruzzo Airport;""PSR"";""Pescara"";""Pescara""",,,,,,,
"Abu Dhabi International Airport;""AUH"";""Abu Dhabi"";""Abu Dhabi""",,,,,,,
"Abu Musa Airport;""AEU"";""Abu Musa Island"";""Abu Musa Island""",,,,,,,
"Abu Rudeis Airport;""AUE"";""Abou Redis"";""Abou Redis""",,,,,,,
"Abu Simbel Airport;""ABS"";""Abu Simbel"";""Abu Simbel""",,,,,,,
"Acadiana Regional Airport;""ARA"";""New Iberia"";""New Iberia""",,,,,,,
"Acaricuara Airport;""ARF"";""Acaricuara"";""Acaricuara""",,,,,,,
"Accomack County Airport;""MFV"";""Melfa"";""Melfa""",,,,,,,
"Achinsk Airport;""ACS"";""Achinsk"";""Achinsk""",,,,,,,
"Achmad Yani International Airport;""SRG"";""Semarang"";""Semarang""",,,,,,,
"Achutupo Airport;""ACU"";""Achutupo"";""Achutupo""",,,,,,,
"Ada Municipal Airport;""ADT"";""Ada"";""Ada""",,,,,,,
"Adado Airport;""AAD"";""Adado"";""Adado""",,,,,,,
"Adak Airport;""ADK"";""Adak Island"";""Adak Island""",,,,,,,
"Adam Airport;""AOM"";""Adam"";""Adam""",,,,,,,
"Adareil Airport;""AEE"";""Adareil"";""Adareil""",,,,,,,
"Addison Airport;""ADS"";""Dallas"";""Dallas""",,,,,,,
"Adelaide Airport;""ADL"";""Adelaide"";""Adelaide""",,,,,,,
"Aden Adde International Airport;""MGQ"";""Mogadishu"";""Mogadishu""",,,,,,,
"Aden International Airport;""ADE"";""Aden"";""Aden""",,,,,,,
"Adirondack Regional Airport;""SLK"";""Saranac Lake"";""Saranac Lake""",,,,,,,
"Adisucipto International Airport;""JOG"";""Yogyakarta"";""Yogyakarta""",,,,,,,
"Adisumarmo International Airport;""SOC"";""Surakarta"";""Surakarta""",,,,,,,
"Adolfo Su??rez Madrid?€?Barajas Airport;""MAD"";""Madrid"";""Madrid""",,,,,,,
"Aek Godang Airport;""AEG"";""Padang Sidempuan"";""Padang Sidempuan""",,,,,,,
"Afonso Pena International Airport;""CWB"";""Curitiba"";""Curitiba""",,,,,,,
"Afore Airport;""AFR"";""Afore"";""Afore""",,,,,,,
"Afton Municipal Airport;""AFO"";""Afton"";""Afton""",,,,,,,
"Afutara Airport;""AFT"";""Afutara"";""Afutara""",,,,,,,
"Afyon Airport;""AFY"";""Afyon"";""Afyon""",,,,,,,
"Agadir?€?Al Massira Airport;""AGA"";""Agadir"";""Agadir""",,,,,,,
"Agartala Airport;""IXA"";""Agartala"";""Agartala""",,,,,,,
"Agatti Aerodrome;""AGX"";""Agatti Island"";""Agatti Island""",,,,,,,
"Agaun Airport;""AUP"";""Agaun"";""Agaun""",,,,,,,
"Agen La Garenne Airport;""AGF"";""Agen"";""Agen""",,,,,,,
"Aggeneys Airport;""AGZ"";""Aggeneys"";""Aggeneys""",,,,,,,
"Aghajari Airport;""AKW"";""Aghajari"";""Aghajari""",,,,,,,
"Agnew Airport;""AGW"";""Agnew"";""Agnew""",,,,,,,
"Agostinho Neto Airport;""NTO"";""Santo Ant??o"";""Santo Ant??o""",,,,,,,
"Agra Airport;""AGR"";""Agra"";""Agra""",,,,,,,
"Agrinion Airport;""AGQ"";""Agrinion"";""Agrinion""",,,,,,,
"Aguaclara Airport;""ACL"";""Aguaclara"";""Aguaclara""",,,,,,,
"Aguas Claras Airport;""OCV"";""Oca??a"";""Oca??a""",,,,,,,
"Aguenar ?€? Hadj Bey Akhamok Airport;""TMR"";""Tamanrasset"";""Tamanrasset""",,,,,,,
"Aguni Airport;""AGJ"";""Aguni"";""Aguni""",,,,,,,
"Ahe Airport;""AHE"";""Ahe"";""Ahe""",,,,,,,
"Ahmad al-Jaber Air Base;""XIJ"";""Al Ahmadi"";""Al Ahmadi""",,,,,,,
"Ahuas Airport;""AHS"";""Ahuas"";""Ahuas""",,,,,,,
"Ahvaz International Airport;""AWZ"";""Ahvaz"";""Ahvaz""",,,,,,,
"Ai-Ais Airport;""AIW"";""Ai-Ais"";""Ai-Ais""",,,,,,,
"Aiambak Airport;""AIH"";""Aiambak"";""Aiambak""",,,,,,,
"Aiken Municipal Airport;""AIK"";""Aiken"";""Aiken""",,,,,,,
"Ailigand?? Airport;""AIL"";""Ailigand??"";""Ailigand??""",,,,,,,
"Ailinglaplap Airok Airport;""AIC"";""Airok"";""Airok""",,,,,,,
"Ailuk Airport;""AIM"";""Ailuk Atoll"";""Ailuk Atoll""",,,,,,,
"Ain Arnat Airport;""QSF"";""S??tif"";""S??tif""",,,,,,,
"Ain Beida Airport;""OGX"";""Ouargla"";""Ouargla""",,,,,,,
"Ainsworth Regional Airport;""ANW"";""Ainsworth"";""Ainsworth""",,,,,,,
"Aiome Airport;""AIE"";""Aiome"";""Aiome""",,,,,,,
"Aioun el Atrouss Airport;""AEO"";""Aioun el Atrouss"";""Aioun el Atrouss""",,,,,,,
"Air Force Base Hoedspruit;""HDS"";""Hoedspruit"";""Hoedspruit""",,,,,,,
"Air Force Base Langebaanweg;""SDB"";""Saldanha Bay"";""Saldanha Bay""",,,,,,,
"Air Force Base Overberg;""OVG"";""Bredasdorp"";""Bredasdorp""",,,,,,,
"Air Force Base Waterkloof;""WKF"";""Pretoria"";""Pretoria""",,,,,,,
"Aishalton Airport;""AHL"";""Aishalton"";""Aishalton""",,,,,,,
"Aitape Airstrip;""ATP"";""Aitape"";""Aitape""",,,,,,,
"Aitutaki Airport;""AIT"";""Aitutaki"";""Aitutaki""",,,,,,,
"Aix les Milles, France;""QXB"";""Bouches-du-Rh??ne"";""Bouches-du-Rh??ne""",,,,,,,
"Aiyura Airport;""AYU"";""Aiyura"";""Aiyura""",,,,,,,
"Ajaccio Napoleon Bonaparte Airport;""AJA"";""Ajaccio"";""Ajaccio""",,,,,,,
"Ajmer Kishangarh Airport;""KQH"";""Kishangarh"";""Kishangarh""",,,,,,,
"Akanu Ibiam International Airport;""ENU"";""Enugu"";""Enugu""",,,,,,,
"Akhiok Airport;""AKK"";""Akhiok"";""Akhiok""",,,,,,,
"Akiachak Airport;""KKI"";""Akiachak"";""Akiachak""",,,,,,,
"Akiak Airport;""AKI"";""Akiak"";""Akiak""",,,,,,,
"Akieni Airport;""AKE"";""Aki??ni"";""Aki??ni""",,,,,,,
"Akita Airport;""AXT"";""Akita"";""Akita""",,,,,,,
"Akjoujt Airport;""AJJ"";""Akjoujt"";""Akjoujt""",,,,,,,
"Aklavik/Freddie Carmichael Airport;""LAK"";""Aklavik"";""Aklavik""",,,,,,,
"Akola Airport;""AKD"";""Akola"";""Akola""",,,,,,,
"Akron Fulton International Airport;""AKC"";""Akron"";""Akron""",,,,,,,
"Akron-Canton Airport;""CAK"";""Akron"";""Akron""",,,,,,,
"Aksu Airport;""AKU"";""Aksu"";""Aksu""",,,,,,,
"Aktau Airport;""SCO"";""Aktau"";""Aktau""",,,,,,,
"Aktion National Airport;""PVK"";""Preveza"";""Preveza""",,,,,,,
"Aktobe Airport;""AKX"";""Aktobe"";""Aktobe""",,,,,,,
"Akulivik Airport;""AKV"";""Akulivik"";""Akulivik""",,,,,,,
"Akure Airport;""AKR"";""Akure"";""Akure""",,,,,,,
"Akureyri Airport;""AEY"";""Akureyri"";""Akureyri""",,,,,,,
"Akutan Seaplane Base;""KQA"";""Akutan"";""Akutan""",,,,,,,
"Akwa Ibom International Airport;""QUO"";""Uyo"";""Uyo""",,,,,,,
"Al Abraq International Airport;""LAQ"";""Bayda"";""Bayda""",,,,,,,
"Al Ain International Airport;""AAN"";""Al Ain"";""Al Ain""",,,,,,,
"Al Alamain International Airport;""DBB"";""El Alamein"";""El Alamein""",,,,,,,
"Al Asad Airbase;""IQA"";""Anbar Province"";""Anbar Province""",,,,,,,
"Al Bateen Executive Airport;""AZI"";""Abu Dhabi"";""Abu Dhabi""",,,,,,,
"Al Bayda Airport;""BYD"";""Al Bayda"";""Al Bayda""",,,,,,,
"Al Dhafra Air Base;""DHF"";""Abu Dhabi"";""Abu Dhabi""",,,,,,,
"Al Ghaydah Airport;""AAY"";""Al Ghaydah"";""Al Ghaydah""",,,,,,,
"Al Hamra Seaplane Base;""RHR"";""Ras al-Khaimah"";""Ras al-Khaimah""",,,,,,,
"Al Maktoum International Airport;""DWC"";""Dubai"";""Dubai""",,,,,,,
"Al Minhad Air Base;""NHD"";""Dubai"";""Dubai""",,,,,,,
"Al Najaf International Airport;""NJF"";""Al Najaf"";""Al Najaf""",,,,,,,
"Al Qaisumah/Hafr Al Batin Airport;""AQI"";""Qaisumah"";""Qaisumah""",,,,,,,
"Al Udeid Air Base;""XJD"";""Al Rayyan"";""Al Rayyan""",,,,,,,
"Al Wajh Domestic Airport;""EJH"";""Al Wajh"";""Al Wajh""",,,,,,,
"Al-Ahsa International Airport;""HOF"";""Hofuf"";""Hofuf""",,,,,,,
"Alakanuk Airport;""AUK"";""Alakanuk"";""Alakanuk""",,,,,,,
"Alamogordo?€?White Sands Regional Airport;""ALM"";""Alamogordo"";""Alamogordo""",,,,,,,
"Albacete Airport;""ABC"";""Albacete"";""Albacete""",,,,,,,
"Al-Baha Domestic Airport;""ABT"";""Al-Baha"";""Al-Baha""",,,,,,,
"Albano Machado Airport;""NOV"";""Huambo"";""Huambo""",,,,,,,
"Albany Airport;""ALH"";""Albany"";""Albany""",,,,,,,
"Albany International Airport;""ALB"";""Albany"";""Albany""",,,,,,,
"Albenga Airport;""ALL"";""Albenga"";""Albenga""",,,,,,,
"Alberni Valley Regional Airport;""YPB"";""Port Alberni"";""Port Alberni""",,,,,,,
"Albert ?€? Picardie Airport;""BYF"";""Albert"";""Albert""",,,,,,,
"Albert J. Ellis Airport;""OAJ"";""Jacksonville"";""Jacksonville""",,,,,,,
"Albert Lea Municipal Airport;""AEL"";""Albert Lea"";""Albert Lea""",,,,,,,
"Albert Whitted Airport;""SPG"";""St. Petersburg"";""St. Petersburg""",,,,,,,
"Alberto Alcolumbre International Airport;""MCP"";""Macap??"";""Macap??""",,,,,,,
"Alberto Carnevalli Airport;""MRD"";""M??rida"";""M??rida""",,,,,,,
"Alberto Delgado Airport;""TND"";""Trinidad"";""Trinidad""",,,,,,,
"Alberto Lleras Camargo Airport;""SOX"";""Sogamoso"";""Sogamoso""",,,,,,,
"Albertus Airport;""FEP"";""Freeport"";""Freeport""",,,,,,,
"Albina Airstrip;""ABN"";""Albina"";""Albina""",,,,,,,
"Albrook ""Marcos A. Gelabert"" International Airport;""PAC"";""Panama City"";""Panama City""",,,,,,,
"Albuq Airport;""BUK"";""Albuq"";""Albuq""",,,,,,,
"Albuquerque International Sunport;""ABQ"";""Albuquerque"";""Albuquerque""",,,,,,,
"Albury Airport;""ABX"";""Albury"";""Albury""",,,,,,,
"Alcides Fern??ndez Airport;""ACD"";""Acand??"";""Acand??""",,,,,,,
"Aldan Airport;""ADH"";""Aldan"";""Aldan""",,,,,,,
"Alderney Airport;""ACI"";""Alderney"";""Alderney""",,,,,,,
"Aleg Airport;""LEG"";""Aleg"";""Aleg""",,,,,,,
"Alegrete Airport;""ALQ"";""Alegrete"";""Alegrete""",,,,,,,
"Alejandro Velasco Astete International Airport;""CUZ"";""Cusco"";""Cusco""",,,,,,,
"Aleknagik Airport;""WKK"";""Aleknagik"";""Aleknagik""",,,,,,,
"Alenquer Airport;""ALT"";""Alenquer"";""Alenquer""",,,,,,,
"Aleppo International Airport;""ALP"";""Aleppo"";""Aleppo""",,,,,,,
"Alert Airport;""YLT"";""Alert"";""Alert""",,,,,,,
"Alert Bay Airport;""YAL"";""Alert Bay"";""Alert Bay""",,,,,,,
"Alerta Airport;""ALD"";""Alerta"";""Alerta""",,,,,,,
"Alexander Bay Airport;""ALJ"";""Alexander Bay"";""Alexander Bay""",,,,,,,
"Alexandra Aerodrome;""ALR"";""Alexandra"";""Alexandra""",,,,,,,
"Alexandria Airport;""AXL"";""Alexandria Station"";""Alexandria Station""",,,,,,,
"Alexandria International Airport;""AEX"";""Alexandria"";""Alexandria""",,,,,,,
"Alexandria Municipal Airport;""AXN"";""Alexandria"";""Alexandria""",,,,,,,
"Alexandroupoli Airport;""AXD"";""Alexandroupoli"";""Alexandroupoli""",,,,,,,
"Alf??rez Armando Rodr??guez Airport;""LLS"";""Las Lomitas"";""Las Lomitas""",,,,,,,
"Alf??rez FAP Alfredo Vladimir Sara Bauer Airport;""AOP"";""Andoas"";""Andoas""",,,,,,,
"Alf??rez FAP David Figueroa Fernandini Airport;""HUU"";""Hu??nuco"";""Hu??nuco""",,,,,,,
"Alfonso Bonilla Arag??n International Airport;""CLO"";""Cali"";""Cali""",,,,,,,
"Alfonso L??pez Pumarejo Airport;""VUP"";""Valledupar"";""Valledupar""",,,,,,,
"Alfredo V??squez Cobo International Airport;""LET"";""Leticia"";""Leticia""",,,,,,,
"Alghero-Fertilia Airport;""AHO"";""Alghero"";""Alghero""",,,,,,,
"Algona Municipal Airport;""AXG"";""Algona"";""Algona""",,,,,,,
"Alicante?€?Elche Airport;""ALC"";""Alicante"";""Alicante""",,,,,,,
"Alice Arm/Silver City Water Aerodrome;""ZAA"";""Alice Arm"";""Alice Arm""",,,,,,,
"Alice International Airport;""ALI"";""Alice"";""Alice""",,,,,,,
"Alice Springs Airport;""ASP"";""Alice Springs"";""Alice Springs""",,,,,,,
"Ali-Sabieh Airport;""AII"";""Ali Sabieh"";""Ali Sabieh""",,,,,,,
"Alitak Seaplane Base;""ALZ"";""Lazy Bay"";""Lazy Bay""",,,,,,,
"Al-Jawf Domestic Airport;""AJF"";""Sakakah"";""Sakakah""",,,,,,,
"Allah Valley Airport;""AAV"";""Surallah"";""Surallah""",,,,,,,
"Allahabad Airport;""IXD"";""Allahabad"";""Allahabad""",,,,,,,
"Allakaket Airport;""AET"";""Allakaket"";""Allakaket""",,,,,,,
"Allama Iqbal International Airport;""LHE"";""Lahore"";""Lahore""",,,,,,,
"Alldays Airport;""ADY"";""Alldays"";""Alldays""",,,,,,,
"Allegheny County Airport;""AGC"";""Pittsburgh"";""Pittsburgh""",,,,,,,
"Allen Army Airfield;""BIG"";""Delta Junction"";""Delta Junction""",,,,,,,
"Alliance Municipal Airport;""AIA"";""Alliance"";""Alliance""",,,,,,,
"Alma Airport;""YTF"";""Alma"";""Alma""",,,,,,,
"Almaty International Airport;""ALA"";""Almaty"";""Almaty""",,,,,,,
"Almenara Airport;""AMJ"";""Almenara"";""Almenara""",,,,,,,
"Almer??a Airport;""LEI"";""Almer??a"";""Almer??a""",,,,,,,
"Almirante Marcos A. Zar Airport;""REL"";""Trelew"";""Trelew""",,,,,,,
"Almirante Padilla Airport;""RCH"";""Riohacha"";""Riohacha""",,,,,,,
"Al-Musannah Airport;""MNH"";""Al-Musannah"";""Al-Musannah""",,,,,,,
"Along Airport;""IXV"";""Along"";""Along""",,,,,,,
"Alor Island Airport;""ARD"";""Alor Island"";""Alor Island""",,,,,,,
"Alowe Airport;""AWE"";""Alowe"";""Alowe""",,,,,,,
"Alpena County Regional Airport;""APN"";""Alpena"";""Alpena""",,,,,,,
"Alpha Airport;""ABH"";""Alpha"";""Alpha""",,,,,,,
"Alpine?€?Casparis Municipal Airport;""ALE"";""Alpine"";""Alpine""",,,,,,,
"Alroy Downs Airport;""AYD"";""Alroy Downs"";""Alroy Downs""",,,,,,,
"Alta Airport;""ALF"";""Alta"";""Alta""",,,,,,,
"Alta Floresta Airport;""AFL"";""Alta Floresta"";""Alta Floresta""",,,,,,,
"Altai Airport;""LTI"";""Altai"";""Altai""",,,,,,,
"Altamira Airport;""ATM"";""Altamira"";""Altamira""",,,,,,,
"Al-Taqaddum Air Base;""TQD"";""Fallujah"";""Fallujah""",,,,,,,
"Altay Airport;""AAT"";""Altay"";""Altay""",,,,,,,
"Alto Molocue Airport;""AME"";""Alto Molocue"";""Alto Molocue""",,,,,,,
"Alto Palena Airfield;""WAP"";""Palena"";""Palena""",,,,,,,
"Alto Parna??ba Airport;""APY"";""Alto Parna??ba"";""Alto Parna??ba""",,,,,,,
"Alto R??o Senguer Airport;""ARR"";""Alto R??o Senguer"";""Alto R??o Senguer""",,,,,,,
"Alton Downs Airport;""AWN"";""Alton Downs"";""Alton Downs""",,,,,,,
"Altoona?€?Blair County Airport;""AOO"";""Altoona"";""Altoona""",,,,,,,
"Altus Air Force Base;""LTS"";""Altus"";""Altus""",,,,,,,
"Altus/Quartz Mountain Regional Airport;""AXS"";""Altus"";""Altus""",,,,,,,
"Alula Airport;""ALU"";""Alula"";""Alula""",,,,,,,
"Alxa Left Banner Bayanhot Airport;""AXF"";""Alxa Left Banner"";""Alxa Left Banner""",,,,,,,
"Alxa Right Banner Badanjilin Airport;""RHT"";""Alxa Right Banner"";""Alxa Right Banner""",,,,,,,
"Alykel Airport;""NSK"";""Norilsk"";""Norilsk""",,,,,,,
"Am Timan Airport;""AMC"";""Am Timan"";""Am Timan""",,,,,,,
"Am??lcar Cabral International Airport;""SID"";""Sal"";""Sal""",,,,,,,
"Ama Airport;""AMF"";""Ama"";""Ama""",,,,,,,
"Amado Nervo International Airport;""TPQ"";""Tepic"";""Tepic""",,,,,,,
"Amahai Airport;""AHI"";""Amahai"";""Amahai""",,,,,,,
"Amakusa Airfield;""AXJ"";""Amakusa"";""Amakusa""",,,,,,,
"Amalfi Airport;""AFI"";""Amalfi"";""Amalfi""",,,,,,,
"Amami Airport;""ASJ"";""Amami"";""Amami""",,,,,,,
"Amanab Airport;""AMU"";""Amanab"";""Amanab""",,,,,,,
"Amasya Merzifon Airport;""MZH"";""Amasya"";""Amasya""",,,,,,,
"Amata Airport;""AMT"";""Amata"";""Amata""",,,,,,,
"Amazon Bay Airport;""AZB"";""Amazon Bay"";""Amazon Bay""",,,,,,,
"Ambalabe Airport;""WAI"";""Antsohihy"";""Antsohihy""",,,,,,,
"Ambanja Airport;""IVA"";""Ambanja"";""Ambanja""",,,,,,,
"Ambatolahy Airport;""AHY"";""Ambatolahy"";""Ambatolahy""",,,,,,,
"Ambatomainty Airport;""AMY"";""Ambatomainty"";""Ambatomainty""",,,,,,,
"Ambatondrazaka Airport;""WAM"";""Ambatondrazaka"";""Ambatondrazaka""",,,,,,,
"Ambilobe Airport;""AMB"";""Ambilobe"";""Ambilobe""",,,,,,,
"Ambler Airport;""ABL"";""Ambler"";""Ambler""",,,,,,,
"Ambohibary Airport;""OHB"";""Moramanga"";""Moramanga""",,,,,,,
"Amboin Airport;""AMG"";""Amboin"";""Amboin""",,,,,,,
"Amborovy Airport;""MJN"";""Mahajanga"";""Mahajanga""",,,,,,,
"Amboseli Airport;""ASV"";""Amboseli"";""Amboseli""",,,,,,,
"Ambriz Airport;""AZZ"";""Ambriz"";""Ambriz""",,,,,,,
"Ambunti Airport;""AUJ"";""Ambunti"";""Ambunti""",,,,,,,
"Amderma Airport;""AMV"";""Amderma"";""Amderma""",,,,,,,
"Amedee Army Airfield;""AHC"";""Herlong"";""Herlong""",,,,,,,
"American River Airport;""RCN"";""American River"";""American River""",,,,,,,
"Amery Municipal Airport;""AHH"";""Amery"";""Amery""",,,,,,,
"Ames Municipal Airport;""AMW"";""Ames"";""Ames""",,,,,,,
"Amgu Airport;""AEM"";""Amgu"";""Amgu""",,,,,,,
"Amman Civil Airport;""ADJ"";""Amman"";""Amman""",,,,,,,
"Ammaroo Airport;""AMX"";""Ammaroo"";""Ammaroo""",,,,,,,
"Amook Bay Seaplane Base;""AOS"";""Amook Bay"";""Amook Bay""",,,,,,,
"Amos/Magny Airport;""YEY"";""Amos"";""Amos""",,,,,,,
"Ampanihy Airport;""AMP"";""Ampanihy"";""Ampanihy""",,,,,,,
"Ampara Airport;""ADP"";""Ampara"";""Ampara""",,,,,,,
"Amsterdam Airport Schiphol;""AMS"";""Amsterdam"";""Amsterdam""",,,,,,,
"An??polis Airport;""APS"";""An??polis"";""An??polis""",,,,,,,
"Anaa Airport;""AAA"";""Anaa"";""Anaa""",,,,,,,
"Anaco Airport;""AAO"";""Anaco"";""Anaco""",,,,,,,
"Anacortes Airport;""OTS"";""Anacortes"";""Anacortes""",,,,,,,
"Anahim Lake Airport;""YAA"";""Anahim Lake"";""Anahim Lake""",,,,,,,
"Anaktuvuk Pass Airport;""AKP"";""Anaktuvuk Pass"";""Anaktuvuk Pass""",,,,,,,
"Analalava Airport;""HVA"";""Analalava"";""Analalava""",,,,,,,
"Anapa Airport;""AAQ"";""Anapa"";""Anapa""",,,,,,,
"Anatom Airport;""AUY"";""Anatom Island"";""Anatom Island""",,,,,,,
"Ancona Falconara Airport;""AOI"";""Ancona"";""Ancona""",,,,,,,
"And??ya Airport, Andenes;""ANX"";""Andenes"";""Andenes""",,,,,,,
"Andahuaylas Airport;""ANS"";""Andahuaylas"";""Andahuaylas""",,,,,,,
"Andakombe Airport;""ADC"";""Andakombe"";""Andakombe""",,,,,,,
"Andamooka Airport;""ADO"";""Andamooka"";""Andamooka""",,,,,,,
"Andapa Airport;""ZWA"";""Andapa"";""Andapa""",,,,,,,
"Andavadoaka Airport;""DVD"";""Andavadoaka"";""Andavadoaka""",,,,,,,
"Andersen Air Force Base;""UAM"";""Hag??t??a"";""Hag??t??a""",,,,,,,
"Anderson Municipal Airport;""AID"";""Anderson"";""Anderson""",,,,,,,
"Anderson Regional Airport;""AND"";""Anderson"";""Anderson""",,,,,,,
"Andes Airport;""ADN"";""Andes"";""Andes""",,,,,,,
"Andi Jemma Airport;""MXB"";""Masamba"";""Masamba""",,,,,,,
"Andizhan Airport;""AZN"";""Andizhan"";""Andizhan""",,,,,,,
"Andr??s Miguel Salazar Marcano Airport;""ICC"";""Coche Island"";""Coche Island""",,,,,,,
"Andravida Air Base;""PYR"";""Pyrgos"";""Pyrgos""",,,,,,,
"Andre Maggi Airport;""OTT"";""Cotrigua??u"";""Cotrigua??u""",,,,,,,
"Andrews Field;""ADW"";""Camp Springs"";""Camp Springs""",,,,,,,
"Andriamena Airport;""WAD"";""Andriamena"";""Andriamena""",,,,,,,
"Andros Town International Airport;""ASD"";""Andros Town"";""Andros Town""",,,,,,,
"Andulo Airport;""ANL"";""Andulo"";""Andulo""",,,,,,,
"Anfa Airport;""CAS"";""Casablanca"";""Casablanca""",,,,,,,
"Angads Airport;""OUD"";""Oujda"";""Oujda""",,,,,,,
"Angel Fire Airport;""AXX"";""Angel Fire"";""Angel Fire""",,,,,,,
"Angelina County Airport;""LFK"";""Lufkin"";""Lufkin""",,,,,,,
"Angers ?€? Loire Airport;""ANE"";""Angers"";""Angers""",,,,,,,
