"FlightNum";"FlightCompany";"Origin";"Destination";"TakeOffAt";"ArriveAt";"FlightTime";"CraftCompany";"Airplane"
21;"SQ";"EWR";"SIN";"09:45:00";"17:15:00";"18:30:00";"Airbus";"A350-900"
21;"UA";"AMS";"IAH";"10:20:00";"14:10:00";"10:50:00";"Boeing";"777-200"
22;"LH";"FRA";"HAM";"16:00:00";"17:05:00";"01:05:00";"Airbus";"A321"
22;"LX";"GVA";"JFK";"11:40:00";"14:40:00";"09:00:00";"Airbus";"A330-300"
22;"SQ";"SIN";"EWR";"00:40:00";"05:30:00";"17:50:00";"Airbus";"A350-900"
22;"UA";"DUB";"EWR";"09:00:00";"11:30:00";"07:30:00";"Boeing";"777-200"
23;"LH";"HAM";"FRA";"15:00:00";"16:10:00";"01:10:00";"Airbus";"A321"
23;"LX";"JFK";"GVA";"19:45:00";"09:20:00";"07:35:00";"Airbus";"A330-300"
23;"UA";"EWR";"DUB";"19:35:00";"07:00:00";"06:25:00";"Boeing";"777-200"
24;"LH";"FRA";"HAM";"17:00:00";"18:05:00";"01:05:00";"Airbus";"A321"
25;"AC";"YVR";"PVG";"12:00:00";"16:00:00";"12:00:00";"Boeing";"787-9"
25;"LH";"HAM";"FRA";"16:00:00";"17:10:00";"01:10:00";"Airbus";"A321"
25;"SQ";"JFK";"FRA";"20:15:00";"09:50:00";"07:35:00";"Airbus";"A380-800"
26;"AC";"PVG";"YVR";"17:50:00";"12:10:00";"10:20:00";"Boeing";"787-9"
26;"SQ";"SIN";"FRA";"23:55:00";"06:20:00";"13:25:00";"Airbus";"A380-800"
27;"AC";"YYZ";"PVG";"12:25:00";"16:10:00";"14:45:00";"Boeing";"777"
27;"LH";"HAM";"FRA";"17:00:00";"18:10:00";"01:10:00";"Airbus";"A321"
28;"AC";"PVG";"YYZ";"18:15:00";"19:00:00";"13:45:00";"Boeing";"777"
28;"LH";"FRA";"HAM";"18:00:00";"19:05:00";"01:05:00";"Airbus";"A321"
28;"UA";"SIN";"SFO";"22:20:00";"20:55:00";"14:35:00";"Boeing";"787-9"
29;"LH";"HAM";"FRA";"18:00:00";"19:10:00";"01:10:00";"Airbus";"A321"
29;"UA";"SFO";"SIN";"10:55:00";"20:15:00";"17:20:00";"Boeing";"787-9"
30;"AC";"PEK";"YVR";"17:55:00";"12:25:00";"10:30:00";"Boeing";"777-300ER"
30;"LH";"FRA";"HAM";"19:00:00";"20:05:00";"01:05:00";"Airbus";"A321"
30;"UA";"EWR";"MUC";"17:30:00";"07:20:00";"07:50:00";"Boeing";"767-400"
31;"AC";"YYZ";"PEK";"14:20:00";"16:45:00";"13:25:00";"Boeing";"777-300ER"
31;"LH";"HAM";"FRA";"19:00:00";"20:10:00";"01:10:00";"Airbus";"A321"
31;"SQ";"SFO";"SIN";"09:30:00";"19:05:00";"17:35:00";"Airbus";"A350-900"
31;"UA";"MUC";"EWR";"09:20:00";"12:50:00";"09:30:00";"Boeing";"767-400"
32;"AC";"PEK";"YYZ";"18:45:00";"18:45:00";"13:00:00";"Boeing";"777-300ER"
32;"LH";"FRA";"HAM";"20:00:00";"21:05:00";"01:05:00";"Airbus";"A321"
32;"SQ";"SIN";"SFO";"09:20:00";"07:50:00";"14:30:00";"Airbus";"A350-900"
32;"UA";"LAX";"NRT";"10:40:00";"15:30:00";"11:50:00";"Boeing";"787-9"
33;"AC";"YYZ";"YVR";"20:00:00";"22:08:00";"05:08:00";"Boeing";"777-200LR"
33;"LH";"HAM";"FRA";"20:00:00";"21:10:00";"01:10:00";"Airbus";"A321"
33;"UA";"NRT";"LAX";"17:30:00";"10:25:00";"09:55:00";"Boeing";"787-9"
34;"AC";"YVR";"YYZ";"09:00:00";"16:20:00";"04:20:00";"Boeing";"777-200LR"
34;"UA";"KIX";"SFO";"18:10:00";"10:55:00";"09:45:00";"Boeing";"787-8"
35;"AC";"YVR";"BNE";"23:30:00";"08:15:00";"14:45:00";"Boeing";"787-8"
35;"UA";"SFO";"KIX";"11:25:00";"16:35:00";"12:10:00";"Boeing";"787-8"
36;"AC";"BNE";"YVR";"11:50:00";"07:15:00";"13:25:00";"Boeing";"787-8"
36;"LH";"FRA";"HAM";"20:30:00";"21:35:00";"01:05:00";"Airbus";"A321"
36;"UA";"EWR";"EDI";"20:00:00";"07:35:00";"06:35:00";"Boeing";"757-200"
37;"AC";"YVR";"MEL";"22:45:00";"10:05:00";"16:20:00";"Boeing";"787-9"
37;"SQ";"LAX";"SIN";"22:25:00";"08:15:00";"17:50:00";"Airbus";"A350-900"
38;"AC";"MEL";"YVR";"11:40:00";"07:30:00";"14:50:00";"Boeing";"787-9"
38;"LH";"FRA";"TXL";"08:15:00";"09:25:00";"01:10:00";"Airbus";"A321"
38;"LX";"ZRH";"SFO";"13:15:00";"16:15:00";"12:00:00";"Boeing";"777-300ER"
38;"SQ";"SIN";"LAX";"20:45:00";"19:55:00";"15:10:00";"Airbus";"A350-900"
39;"LH";"TXL";"FRA";"10:15:00";"11:25:00";"01:10:00";"Airbus";"A321"
39;"LX";"SFO";"ZRH";"19:50:00";"15:45:00";"10:55:00";"Boeing";"777-300ER"
39;"UA";"EDI";"EWR";"09:05:00";"12:00:00";"07:55:00";"Boeing";"757-200"
40;"LX";"ZRH";"LAX";"13:10:00";"16:20:00";"12:10:00";"Boeing";"777-300ER"
40;"UA";"EWR";"FCO";"17:45:00";"08:05:00";"08:20:00";"Boeing";"767-300"
41;"LX";"LAX";"ZRH";"19:20:00";"15:15:00";"10:55:00";"Boeing";"777-300ER"
42;"AC";"YYZ";"DEL";"21:25:00";"21:40:00";"13:45:00";"Boeing";"787-9"
43;"AC";"DEL";"YYZ";"00:45:00";"05:05:00";"14:50:00";"Boeing";"787-9"
44;"AC";"YVR";"DEL";"00:15:00";"04:05:00";"14:20:00";"Boeing";"787-9"
44;"LH";"FRA";"TXL";"20:15:00";"21:25:00";"01:10:00";"Airbus";"A321"
45;"LH";"TXL";"FRA";"07:15:00";"08:25:00";"01:10:00";"Airbus";"A320"
46;"AC";"YYZ";"BOM";"20:40:00";"22:05:00";"14:55:00";"Boeing";"777"
46;"LH";"FRA";"HAJ";"06:50:00";"07:40:00";"00:00:50";"Airbus";"A319"
46;"UA";"IAH";"FRA";"19:00:00";"11:40:00";"09:40:00";"Boeing";"777-200"
47;"UA";"FRA";"IAH";"13:50:00";"18:15:00";"11:25:00";"Boeing";"777-200"
48;"LH";"FRA";"HAJ";"08:55:00";"09:45:00";"00:00:50";"Embraer";"190"
48;"UA";"EWR";"BOM";"20:10:00";"21:40:00";"15:00:00";"Boeing";"777-300ER"
49;"LH";"HAJ";"FRA";"06:15:00";"07:15:00";"01:00:00";"Airbus";"A319"
49;"UA";"BOM";"EWR";"00:10:00";"05:40:00";"16:00:00";"Boeing";"777-300ER"
50;"LH";"FRA";"HAJ";"09:55:00";"10:45:00";"00:00:50";"Airbus";"A321"
50;"UA";"MAD";"EWR";"11:15:00";"14:00:00";"08:45:00";"Boeing";"767-300"
51;"LH";"HAJ";"FRA";"08:20:00";"09:20:00";"01:00:00";"Airbus";"A319"
51;"SQ";"MAN";"SIN";"11:00:00";"07:55:00";"12:55:00";"Airbus";"A350-900"
51;"UA";"EWR";"MAD";"20:15:00";"09:25:00";"07:10:00";"Boeing";"767-300"
52;"LH";"FRA";"HAJ";"13:45:00";"14:35:00";"00:00:50";"Airbus";"A319"
52;"LX";"ZRH";"BOS";"17:25:00";"20:05:00";"08:40:00";"Airbus";"A340-300"
52;"UA";"IAD";"ZRH";"17:55:00";"07:55:00";"08:00:00";"Boeing";"767-400"
53;"LH";"HAJ";"FRA";"10:25:00";"11:25:00";"01:00:00";"Embraer";"190"
53;"LX";"BOS";"ZRH";"21:45:00";"11:00:00";"07:15:00";"Airbus";"A340-300"
53;"UA";"ZRH";"IAD";"11:35:00";"15:10:00";"09:35:00";"Boeing";"767-400"
54;"LH";"FRA";"HAJ";"17:25:00";"18:15:00";"00:00:50";"Airbus";"A320"
55;"LH";"HAJ";"FRA";"11:25:00";"12:25:00";"01:00:00";"Airbus";"A321"
56;"UA";"CDG";"EWR";"09:25:00";"12:10:00";"08:45:00";"Boeing";"767-400"
57;"LH";"HAJ";"FRA";"15:15:00";"16:10:00";"00:00:55";"Airbus";"A319"
57;"UA";"EWR";"CDG";"18:15:00";"07:35:00";"07:20:00";"Boeing";"767-400"
58;"LH";"FRA";"HAJ";"21:00:00";"21:50:00";"00:00:50";"Airbus";"A319"
58;"UA";"SFO";"FRA";"13:45:00";"09:55:00";"11:10:00";"Boeing";"777-300ER"
59;"LH";"HAJ";"FRA";"19:05:00";"20:00:00";"00:00:55";"Airbus";"A320"
59;"UA";"FRA";"SFO";"12:50:00";"15:30:00";"11:40:00";"Boeing";"777-300ER"
61;"AC";"YYZ";"ICN";"13:35:00";"17:35:00";"14:00:00";"Boeing";"787-9"
62;"LH";"FRA";"FMO";"09:15:00";"10:05:00";"00:00:50";"Canadair";"(Bombardier)"
62;"UA";"IAH";"GRU";"21:30:00";"11:40:00";"10:10:00";"Boeing";"767-300"
63;"AC";"YVR";"ICN";"12:05:00";"16:20:00";"11:15:00";"Boeing";"787-9"
63;"LH";"FMO";"FRA";"06:50:00";"07:40:00";"00:00:50";"Canadair";"(Bombardier)"
63;"UA";"GRU";"IAH";"23:30:00";"05:50:00";"10:20:00";"Boeing";"767-300"
64;"AC";"ICN";"YVR";"17:55:00";"10:35:00";"09:40:00";"Boeing";"787-9"
64;"LH";"FRA";"FMO";"13:10:00";"14:00:00";"00:00:50";"Canadair";"(Bombardier)"
64;"LX";"ZRH";"MIA";"13:05:00";"17:40:00";"10:35:00";"Boeing";"777-300ER"
64;"UA";"EWR";"LIS";"20:20:00";"08:10:00";"06:50:00";"Boeing";"757-200"
65;"LH";"FMO";"FRA";"10:40:00";"11:30:00";"00:00:50";"Canadair";"(Bombardier)"
65;"LX";"MIA";"ZRH";"19:45:00";"10:50:00";"09:05:00";"Boeing";"777-300ER"
65;"UA";"LIS";"EWR";"10:15:00";"13:50:00";"08:35:00";"Boeing";"757-200"
66;"LH";"FRA";"FMO";"17:35:00";"18:25:00";"00:00:50";"Canadair";"(Bombardier)"
66;"LX";"ZRH";"MIA";"09:50:00";"14:35:00";"10:45:00";"Airbus";"A330-300"
67;"LH";"FMO";"FRA";"14:35:00";"15:25:00";"00:00:50";"Canadair";"(Bombardier)"
67;"LX";"MIA";"ZRH";"16:55:00";"08:05:00";"09:10:00";"Airbus";"A330-300"
68;"LH";"FRA";"FMO";"20:50:00";"21:40:00";"00:00:50";"Canadair";"(Bombardier)"
69;"LH";"FMO";"FRA";"19:10:00";"20:00:00";"00:00:50";"Canadair";"(Bombardier)"
70;"UA";"EWR";"AMS";"17:50:00";"07:15:00";"07:25:00";"Boeing";"767-300"
71;"UA";"AMS";"EWR";"09:15:00";"11:55:00";"08:40:00";"Boeing";"767-300"
72;"LH";"FRA";"DUS";"07:15:00";"08:05:00";"00:00:50";"Airbus";"A320"
73;"LH";"DUS";"FRA";"06:25:00";"07:20:00";"00:00:55";"Airbus";"A320"
74;"LH";"FRA";"DUS";"09:25:00";"10:15:00";"00:00:50";"Airbus";"A320"
75;"LH";"DUS";"FRA";"08:55:00";"09:50:00";"00:00:55";"Airbus";"A320"
76;"LH";"FRA";"DUS";"13:00:00";"13:50:00";"00:00:50";"Airbus";"A320"
77;"LH";"DUS";"FRA";"10:55:00";"11:50:00";"00:00:55";"Airbus";"A320"
78;"UA";"NRT";"EWR";"17:45:00";"16:30:00";"12:45:00";"Boeing";"777-300ER"
79;"LH";"DUS";"FRA";"14:35:00";"15:25:00";"00:00:50";"Airbus";"A320"
79;"UA";"EWR";"NRT";"10:55:00";"15:00:00";"14:05:00";"Boeing";"777-300ER"
80;"UA";"MAN";"EWR";"09:00:00";"12:15:00";"08:15:00";"Boeing";"757-200"
81;"UA";"EWR";"MAN";"19:20:00";"07:15:00";"06:55:00";"Boeing";"757-200"
82;"LH";"FRA";"DUS";"16:20:00";"17:10:00";"00:00:50";"Canadair";"(Bombardier)"
82;"UA";"EWR";"DEL";"21:00:00";"21:30:00";"14:00:00";"Boeing";"777-200"
83;"UA";"DEL";"EWR";"23:45:00";"04:35:00";"15:20:00";"Boeing";"777-200"
84;"AC";"YYZ";"TLV";"16:50:00";"10:15:00";"10:25:00";"Boeing";"787-9"
84;"LH";"FRA";"DUS";"17:10:00";"18:00:00";"00:00:50";"Airbus";"A319"
84;"UA";"EWR";"TLV";"16:20:00";"09:35:00";"10:15:00";"Boeing";"777-200"
85;"AC";"TLV";"YYZ";"11:55:00";"17:00:00";"12:05:00";"Boeing";"787-9"
85;"LH";"DUS";"FRA";"17:55:00";"18:45:00";"00:00:50";"Canadair";"(Bombardier)"
85;"UA";"TLV";"EWR";"11:35:00";"16:55:00";"12:20:00";"Boeing";"777-200"
86;"UA";"EWR";"PVG";"10:00:00";"14:05:00";"15:05:00";"Boeing";"777-200"
87;"LH";"DUS";"FRA";"18:40:00";"19:30:00";"00:00:50";"Airbus";"A319"
87;"UA";"PVG";"EWR";"16:30:00";"18:00:00";"14:30:00";"Boeing";"777-200"
88;"LH";"FRA";"DUS";"21:30:00";"22:20:00";"00:00:50";"Airbus";"A320"
88;"UA";"PEK";"EWR";"17:00:00";"17:50:00";"13:50:00";"Boeing";"777-200"
89;"UA";"EWR";"PEK";"12:05:00";"15:00:00";"13:55:00";"Boeing";"777-200"
90;"AC";"YYZ";"GRU";"23:55:00";"12:55:00";"10:00:00";"Boeing";"777-300ER"
90;"UA";"EWR";"TLV";"23:05:00";"16:20:00";"10:15:00";"Boeing";"777-300ER"
91;"AC";"GRU";"YYZ";"21:45:00";"05:00:00";"10:15:00";"Boeing";"777-300ER"
91;"UA";"TLV";"EWR";"23:10:00";"04:30:00";"12:20:00";"Boeing";"777-300ER"
92;"LH";"FRA";"MUC";"06:15:00";"07:10:00";"00:00:55";"Airbus";"A321"
92;"LX";"ZRH";"GRU";"22:40:00";"07:45:00";"12:05:00";"Boeing";"777-300ER"
93;"AC";"SCL";"YYZ";"10:25:00";"19:00:00";"10:35:00";"Boeing";"787-9"
93;"LH";"MUC";"FRA";"07:00:00";"08:05:00";"01:05:00";"Airbus";"A321"
93;"LX";"GRU";"ZRH";"20:20:00";"10:30:00";"11:10:00";"Boeing";"777-300ER"
94;"AC";"YYZ";"EZE";"19:20:00";"08:05:00";"10:45:00";"Boeing";"787-9"
94;"LH";"FRA";"MUC";"07:15:00";"08:10:00";"00:00:55";"Airbus";"A321"
95;"LH";"MUC";"FRA";"08:30:00";"09:35:00";"01:05:00";"Airbus";"A321"
96;"LH";"FRA";"MUC";"08:15:00";"09:10:00";"00:00:55";"Airbus";"A321"
97;"LH";"MUC";"FRA";"08:00:00";"09:05:00";"01:05:00";"Airbus";"A321"
98;"LH";"FRA";"MUC";"09:15:00";"10:10:00";"00:00:55";"Airbus";"A321"
98;"UA";"LAX";"MEL";"22:35:00";"09:25:00";"15:50:00";"Boeing";"787-9"
99;"LH";"MUC";"FRA";"09:00:00";"10:05:00";"01:05:00";"Airbus";"A321"
99;"UA";"MEL";"LAX";"11:25:00";"06:40:00";"14:15:00";"Boeing";"787-9"
100;"LH";"FRA";"MUC";"10:15:00";"11:10:00";"00:00:55";"Airbus";"A321"
100;"UA";"SYD";"IAH";"11:50:00";"10:30:00";"15:40:00";"Boeing";"787-9"
101;"AC";"YYZ";"YVR";"07:15:00";"09:18:00";"05:03:00";"Boeing";"787-9"
101;"CA";"PEK";"HKG";"08:00:00";"11:25:00";"03:25:00";"Airbus";"A321"
101;"LH";"MUC";"FRA";"10:00:00";"11:05:00";"01:05:00";"Airbus";"A321"
101;"UA";"IAH";"SYD";"20:30:00";"07:00:00";"17:30:00";"Boeing";"787-9"
102;"AC";"YVR";"YYZ";"06:45:00";"14:12:00";"04:27:00";"Airbus";"A321"
102;"CA";"HKG";"PEK";"12:30:00";"15:40:00";"03:10:00";"Airbus";"A321"
102;"UA";"IAH";"MUC";"16:40:00";"09:45:00";"10:05:00";"Boeing";"767-300"
103;"AC";"YYZ";"YVR";"08:00:00";"10:08:00";"05:08:00";"Boeing";"777-300ER"
103;"CA";"TSN";"HKG";"08:30:00";"12:00:00";"03:30:00";"Boeing";"737-800"
103;"LH";"MUC";"FRA";"11:00:00";"12:05:00";"01:05:00";"Airbus";"A321"
104;"AC";"YVR";"YYZ";"08:00:00";"15:27:00";"04:27:00";"Airbus";"A321"
104;"CA";"HKG";"TSN";"13:00:00";"16:10:00";"03:10:00";"Boeing";"737-800"
104;"LH";"FRA";"MUC";"12:15:00";"13:10:00";"00:00:55";"Airbus";"A321"
105;"AC";"YYZ";"YVR";"09:00:00";"11:20:00";"05:20:00";"Airbus";"A321"
105;"CA";"DLC";"HKG";"12:35:00";"16:45:00";"04:10:00";"Boeing";"737-800"
105;"LH";"MUC";"FRA";"12:00:00";"13:00:00";"01:00:00";"Airbus";"A321"
106;"CA";"HKG";"DLC";"17:45:00";"21:15:00";"03:30:00";"Boeing";"737-800"
106;"LH";"FRA";"MUC";"13:15:00";"14:10:00";"00:00:55";"Airbus";"A321"
106;"SQ";"SIN";"KUL";"08:30:00";"09:30:00";"01:00:00";"Airbus";"A330-300"
106;"UA";"IAD";"MUC";"17:40:00";"07:40:00";"08:00:00";"Boeing";"777-200"
107;"AC";"YYZ";"YVR";"10:00:00";"12:20:00";"05:20:00";"Airbus";"A321"
107;"CA";"PEK";"HKG";"18:15:00";"22:05:00";"03:50:00";"Airbus";"A321"
107;"SQ";"KUL";"SIN";"10:25:00";"11:25:00";"01:00:00";"Airbus";"A330-300"
107;"UA";"MUC";"IAD";"12:10:00";"15:35:00";"09:25:00";"Boeing";"777-200"
108;"CA";"HKG";"PEK";"10:30:00";"13:55:00";"03:25:00";"Airbus";"A321"
109;"CA";"PEK";"HKG";"13:00:00";"16:45:00";"03:45:00";"Airbus";"A330-300"
109;"LH";"MUC";"FRA";"14:00:00";"15:00:00";"01:00:00";"Airbus";"A321"
110;"AC";"YVR";"YYZ";"10:30:00";"17:57:00";"04:27:00";"Airbus";"A321"
110;"CA";"HKG";"PEK";"17:50:00";"21:10:00";"03:20:00";"Airbus";"A330-300"
110;"LH";"FRA";"MUC";"15:15:00";"16:10:00";"00:00:55";"Airbus";"A321"
110;"UA";"EWR";"LHR";"18:10:00";"06:20:00";"07:10:00";"Boeing";"767-400"
111;"AC";"YYZ";"YVR";"12:00:00";"14:20:00";"05:20:00";"Airbus";"A321"
111;"CA";"PEK";"HKG";"09:30:00";"13:05:00";"03:35:00";"Airbus";"A330-300"
111;"LH";"MUC";"FRA";"15:00:00";"16:00:00";"01:00:00";"Airbus";"A321"
112;"AC";"YVR";"YYZ";"11:30:00";"18:57:00";"04:27:00";"Airbus";"A320"
112;"CA";"HKG";"PEK";"14:20:00";"17:30:00";"03:10:00";"Airbus";"A330-300"
112;"LH";"FRA";"MUC";"16:20:00";"17:15:00";"00:00:55";"Airbus";"A321"
114;"AC";"YVR";"YYZ";"12:30:00";"19:57:00";"04:27:00";"Airbus";"A321"
114;"LH";"FRA";"MUC";"17:15:00";"18:10:00";"00:00:55";"Airbus";"A321"
115;"AC";"YYZ";"YVR";"14:00:00";"16:20:00";"05:20:00";"Airbus";"A321"
115;"CA";"PEK";"HKG";"15:30:00";"19:00:00";"03:30:00";"Airbus";"A321"
115;"LH";"MUC";"FRA";"17:00:00";"18:00:00";"01:00:00";"Airbus";"A321"
116;"AC";"YVR";"YYZ";"13:45:00";"21:05:00";"04:20:00";"Boeing";"777-300ER"
116;"CA";"HKG";"PEK";"20:15:00";"23:25:00";"03:10:00";"Airbus";"A321"
116;"LH";"FRA";"MUC";"18:15:00";"19:10:00";"00:00:55";"Airbus";"A321"
116;"SQ";"SIN";"KUL";"16:45:00";"17:50:00";"01:05:00";"Airbus";"A330-300"
116;"UA";"HKG";"GUM";"23:55:00";"06:40:00";"04:45:00";"Boeing";"737-700"
117;"CA";"PEK";"HKG";"17:10:00";"20:50:00";"03:40:00";"Boeing";"737-800"
117;"LH";"MUC";"FRA";"18:00:00";"19:00:00";"01:00:00";"Airbus";"A321"
117;"SQ";"KUL";"SIN";"18:40:00";"19:45:00";"01:05:00";"Airbus";"A330-300"
117;"UA";"SPN";"GUM";"09:15:00";"09:55:00";"00:00:40";"Boeing";"737-800"
118;"AC";"YVR";"YYZ";"14:10:00";"21:30:00";"04:20:00";"Boeing";"777-300ER"
118;"CA";"HKG";"PEK";"08:30:00";"12:00:00";"03:30:00";"Boeing";"737-800"
118;"LH";"FRA";"MUC";"19:15:00";"20:10:00";"00:00:55";"Airbus";"A320"
118;"SQ";"SIN";"KUL";"18:40:00";"19:40:00";"01:00:00";"Airbus";"A350-900"
119;"AC";"YYZ";"YVR";"16:00:00";"18:20:00";"05:20:00";"Airbus";"A321"
119;"CA";"WUH";"MFM";"14:00:00";"15:50:00";"01:50:00";"Airbus";"A318"
119;"LH";"MUC";"FRA";"19:00:00";"20:00:00";"01:00:00";"Airbus";"A321"
119;"SQ";"KUL";"SIN";"20:30:00";"21:30:00";"01:00:00";"Airbus";"A350-900"
120;"AC";"YVR";"YYZ";"16:00:00";"23:27:00";"04:27:00";"Airbus";"A321"
120;"CA";"MFM";"WUH";"16:50:00";"18:25:00";"01:35:00";"Airbus";"A318"
120;"LH";"FRA";"MUC";"20:15:00";"21:10:00";"00:00:55";"Airbus";"A321"
121;"AC";"YYZ";"YVR";"17:00:00";"19:20:00";"05:20:00";"Airbus";"A321"
121;"CA";"PEK";"FNJ";"13:35:00";"16:20:00";"01:45:00";"Boeing";"737-700"
121;"LH";"MUC";"FRA";"20:00:00";"21:00:00";"01:00:00";"Airbus";"A321"
121;"UA";"BCN";"EWR";"10:40:00";"13:50:00";"09:10:00";"Boeing";"767-300"
122;"CA";"FNJ";"PEK";"17:20:00";"18:20:00";"02:00:00";"Boeing";"737-700"
122;"LH";"FRA";"MUC";"21:15:00";"22:10:00";"00:00:55";"Airbus";"A321"
